address_full,number,street,city,state,zip,longitude,latitude,statefp,countyfp,tractce,blkgrpce
"1511 VT ROUTE 12A NORTHFIELD, VT 05663 ",1511,VT ROUTE 12A,NORTHFIELD,VT,05663,-72.674234,44.11609,50,023,955502,3
"16 HILLCREST LN BARRE TOWN, VT 05641 ",16,HILLCREST LN,BARRE TOWN,VT,05641,-72.491546,44.204769,50,023,955300,2
"10 BAPTIST ST BARRE TOWN, VT 05654 ",10,BAPTIST ST,BARRE TOWN,VT,05654,-72.492948,44.150748,50,023,955400,2
"0 CLARK RD NORTHFIELD, VT 05663 ",0,CLARK RD,NORTHFIELD,VT,05663,-72.744278,44.135737,50,023,955501,2
"72 FAWN RD WARREN, VT 05674 ",72,FAWN RD,WARREN,VT,05674,-72.840342,44.072912,50,023,955600,1
"163 BERLIN ST BARRE CITY, VT 05641 ",163,BERLIN ST,BARRE CITY,VT,05641,-72.516313,44.197427,50,023,955200,6
"438 GUPTIL RD WATERBURY, VT 05677 ",438,GUPTIL RD,WATERBURY,VT,05677,-72.727268,44.356323,50,023,954300,1
"1176 WARD BROOK RD MORETOWN, VT 05660 ",1176,WARD BROOK RD,MORETOWN,VT,05660,-72.670075,44.260306,50,023,954400,1
"8932 COUNTY RD CALAIS, VT 05640 ",8932,COUNTY RD,CALAIS,VT,05640,-72.504217,44.361788,50,023,954100,3
"27 SMITH ST BARRE CITY, VT 05641 ",27,SMITH ST,BARRE CITY,VT,05641,-72.511682,44.204103,50,023,955200,5
"16 HOBBIT HL WARREN, VT 05674 ",16,HOBBIT HL,WARREN,VT,05674,-72.891025,44.143052,50,023,955600,2
"3178 NORTH RD WAITSFIELD, VT 05673 ",3178,NORTH RD,WAITSFIELD,VT,05673,-72.771682,44.229323,50,023,955700,1
"1 POND ST BARRE CITY, VT 05641 ",1,POND ST,BARRE CITY,VT,05641,-72.500703,44.183446,50,023,955200,3
"8 NORTH ST BARRE CITY, VT 05641 ",8,NORTH ST,BARRE CITY,VT,05641,-72.497137,44.19736,50,023,955100,4
"2845 US ROUTE 2 CABOT, VT 05647 ",2845,US ROUTE 2,CABOT,VT,05647,-72.261315,44.373361,50,023,954000,1
"2210 VT ROUTE 14 S EAST MONTPELIER, VT 05651 ",2210,VT ROUTE 14  S,EAST MONTPELIER,VT,05651,-72.486013,44.265175,50,023,955000,2
"1598 BULL RUN RD ROXBURY, VT 05669 ",1598,BULL RUN RD,ROXBURY,VT,05669,-72.678684,44.097226,50,023,955502,2
"254 HENRYS WAY FAYSTON, VT 05673 ",254,HENRYS WAY,FAYSTON,VT,05673,-72.883929,44.197024,50,023,955800,2
"527 SWEET RD WATERBURY, VT 05677 ",527,SWEET RD,WATERBURY,VT,05677,-72.678031,44.388753,50,023,954300,1
"30 COMMERCIAL DR MORETOWN, VT 05676 ",30,COMMERCIAL DR,MORETOWN,VT,05676,-72.744212,44.325815,50,023,954400,2
"361 SAW MILL RD CABOT, VT 05647 ",361,SAW MILL RD,CABOT,VT,05647,-72.325814,44.391614,50,023,954000,1
"21 GARDEN ST BARRE TOWN, VT 05641 ",21,GARDEN ST,BARRE TOWN,VT,05641,-72.45279,44.160722,50,023,955400,1
"4239 US ROUTE 2 EAST MONTPELIER, VT 05651 ",4239,US ROUTE 2,EAST MONTPELIER,VT,05651,-72.460691,44.269869,50,023,955000,2
"167 CRANBERRY MEADOW RD WOODBURY, VT 05650 ",167,CRANBERRY MEADOW RD,WOODBURY,VT,05650,-72.459594,44.433345,50,023,954100,1
"297 PARTRIDGE RD BARRE TOWN, VT 05641 ",297,PARTRIDGE RD,BARRE TOWN,VT,05641,-72.432779,44.171376,50,023,955300,1
"364 WHETSTONE DR NORTHFIELD, VT 05663 ",364,WHETSTONE DR,NORTHFIELD,VT,05663,-72.650022,44.159293,50,023,955502,1
"369 VALLEY VIEW RD WATERBURY, VT 05677 ",369,VALLEY VIEW RD,WATERBURY,VT,05677,-72.695651,44.377904,50,023,954300,1
"350 GRIGGS RD FAYSTON, VT 05673 ",350,GRIGGS RD,FAYSTON,VT,05673,-72.874422,44.192533,50,023,955800,2
"940 GOLF COURSE RD WARREN, VT 05674 ",940,GOLF COURSE RD,WARREN,VT,05674,-72.875955,44.133767,50,023,955600,2
"24 EAST ST BARRE CITY, VT 05641 ",24,EAST ST,BARRE CITY,VT,05641,-72.496686,44.197901,50,023,955100,4
"50 GRAND HOLLOW RD WARREN, VT 05674 ",50,GRAND HOLLOW RD,WARREN,VT,05674,-72.850912,44.138618,50,023,955600,2
"51 EASY ST MONTPELIER, VT 05602 ",51,EASY ST,MONTPELIER,VT,05602,-72.5559,44.262482,50,023,954700,1
"42 SUGAR WOODS RD BARRE TOWN, VT 05641 ",42,SUGAR WOODS RD,BARRE TOWN,VT,05641,-72.47199,44.20247,50,023,955300,2
"423 HERRING BROOK RD MORETOWN, VT 05660 ",423,HERRING BROOK RD,MORETOWN,VT,05660,-72.664897,44.241945,50,023,954400,1
"196 VINE ST BERLIN, VT 05641 ",196,VINE ST,BERLIN,VT,05641,-72.539323,44.221231,50,023,954500,2
"283 RANDELL RD FAYSTON, VT 05660 ",283,RANDELL RD,FAYSTON,VT,05660,-72.838563,44.237924,50,023,955800,1
"226 CENTRAL ST NORTHFIELD, VT 05663 ",226,CENTRAL ST,NORTHFIELD,VT,05663,-72.658115,44.145158,50,023,955502,3
"30 GRANITE ST BARRE CITY, VT 05641 ",30,GRANITE ST,BARRE CITY,VT,05641,-72.506349,44.199234,50,023,955200,4
"28 PORTAL RD MIDDLESEX, VT 05602 ",28,PORTAL RD,MIDDLESEX,VT,05602,-72.586059,44.303951,50,023,954200,2
"123 TRACY HILL RD ROXBURY, VT 05669 ",123,TRACY HILL RD,ROXBURY,VT,05669,-72.732028,44.09206,50,023,955502,2
"4402 MAIN ST WAITSFIELD, VT 05673 ",4402,MAIN ST,WAITSFIELD,VT,05673,-72.824794,44.190095,50,023,955700,2
"261 LOG TOWN RD WOODBURY, VT 05650 ",261,LOG TOWN RD,WOODBURY,VT,05650,-72.462068,44.425096,50,023,954100,1
"6 CLIFF ST MONTPELIER, VT 05602 ",6,CLIFF ST,MONTPELIER,VT,05602,-72.574933,44.262572,50,023,954600,2
"125 CAPTAIN KIDD RD EAST MONTPELIER, VT 05651 ",125,CAPTAIN KIDD RD,EAST MONTPELIER,VT,05651,-72.478197,44.251758,50,023,955000,2
"514 DONER RD EAST MONTPELIER, VT 05602 ",514,DONER RD,EAST MONTPELIER,VT,05602,-72.532678,44.33856,50,023,955000,1
"199 MACKENZIE DR WORCESTER, VT 05682 ",199,MACKENZIE DR,WORCESTER,VT,05682,-72.584209,44.374472,50,023,954200,1
"1028 EAST HILL RD PLAINFIELD, VT 05667 ",1028,EAST HILL RD,PLAINFIELD,VT,05667,-72.403909,44.267513,50,023,954000,3
"150 ISHAM WAY DUXBURY, VT 05676 ",150,ISHAM WAY,DUXBURY,VT,05676,-72.769749,44.316294,50,023,954400,3
"42 FLAT ST WOODBURY, VT 05681 ",42,FLAT ST,WOODBURY,VT,05681,-72.40931,44.440741,50,023,954100,1
"362 S PINNACLE RIDGE RD WATERBURY, VT 05676 ",362,S   PINNACLE RIDGE RD,WATERBURY,VT,05676,-72.767471,44.357847,50,023,954300,2
"624 BEAN RD NORTHFIELD, VT 05663 ",624,BEAN RD,NORTHFIELD,VT,05663,-72.71837,44.189068,50,023,955501,2
"434 CALAIS RD WORCESTER, VT 05682 ",434,CALAIS RD,WORCESTER,VT,05682,-72.519913,44.388372,50,023,954200,1
"937 US ROUTE 2 MARSHFIELD, VT 05658 ",937,US ROUTE 2,MARSHFIELD,VT,05658,-72.340249,44.354356,50,023,954000,2
"1142 GUPTIL RD WATERBURY, VT 05677 ",1142,GUPTIL RD,WATERBURY,VT,05677,-72.719339,44.364578,50,023,954300,1
"821 DANVILLE HILL RD CABOT, VT 05647 ",821,DANVILLE HILL RD,CABOT,VT,05647,-72.295639,44.405039,50,023,954000,1
"61 PLEASANT ST NORTHFIELD, VT 05663 ",61,PLEASANT ST,NORTHFIELD,VT,05663,-72.662138,44.150064,50,023,955501,2
"534 HAMPSHIRE HILL RD WORCESTER, VT 05682 ",534,HAMPSHIRE HILL RD,WORCESTER,VT,05682,-72.5673,44.421152,50,023,954200,1
"80 CURRIER ST BARRE CITY, VT 05641 ",80,CURRIER ST,BARRE CITY,VT,05641,-72.492397,44.199019,50,023,955100,2
"1891 EAST RD BERLIN, VT 05641 ",1891,EAST RD,BERLIN,VT,05641,-72.569975,44.194075,50,023,954500,2
"122 MEADOW LN WOODBURY, VT 05681 ",122,MEADOW LN,WOODBURY,VT,05681,-72.421499,44.459215,50,023,954100,1
"93 WILDFLOWER LN WARREN, VT 05674 ",93,WILDFLOWER LN,WARREN,VT,05674,-72.828452,44.096334,50,023,955600,1
"274 S VILLAGE BLVD WARREN, VT 05674 ",274,S   VILLAGE BLVD,WARREN,VT,05674,-72.88966,44.130657,50,023,955600,2
"13 SAINT PAUL ST MONTPELIER, VT 05602 ",13,SAINT PAUL ST,MONTPELIER,VT,05602,-72.571641,44.261016,50,023,954800,1
"159 MINISTER BROOK RD WORCESTER, VT 05682 ",159,MINISTER BROOK RD,WORCESTER,VT,05682,-72.562748,44.379672,50,023,954200,1
"286 BERLIN ST MONTPELIER, VT 05602 ",286,BERLIN ST,MONTPELIER,VT,05602,-72.562907,44.240485,50,023,954900,2
"3399 COBB HILL RD MORETOWN, VT 05676 ",3399,COBB HILL RD,MORETOWN,VT,05676,-72.756487,44.280458,50,023,954400,2
"611 CENTER RD MIDDLESEX, VT 05602 ",611,CENTER RD,MIDDLESEX,VT,05602,-72.654726,44.32168,50,023,954200,2
"71 DELMONT AVE BARRE CITY, VT 05641 ",71,DELMONT AVE,BARRE CITY,VT,05641,-72.487832,44.197416,50,023,955100,2
"1646 BROOK RD WARREN, VT 05674 ",1646,BROOK RD,WARREN,VT,05674,-72.828809,44.103348,50,023,955600,1
"160 MERCHANT ST BARRE CITY, VT 05641 ",160,MERCHANT ST,BARRE CITY,VT,05641,-72.500526,44.206121,50,023,955100,3
"35 CROSSTOWN RD BERLIN, VT 05641 ",35,CROSSTOWN RD,BERLIN,VT,05641,-72.57712,44.209982,50,023,954500,2
"247 NOTCH RD MIDDLESEX, VT 05602 ",247,NOTCH RD,MIDDLESEX,VT,05602,-72.682534,44.310143,50,023,954200,2
"703 LONG RD WAITSFIELD, VT 05673 ",703,LONG RD,WAITSFIELD,VT,05673,-72.7761,44.183858,50,023,955700,1
"47 PARK MANOR DR BERLIN, VT 05602 ",47,PARK MANOR DR,BERLIN,VT,05602,-72.609626,44.256588,50,023,954500,1
"3174 COITS POND RD CABOT, VT 05647 ",3174,COITS POND RD,CABOT,VT,05647,-72.323893,44.457774,50,023,954000,1
"245 BECKLEY HILL RD BARRE TOWN, VT 05641 ",245,BECKLEY HILL RD,BARRE TOWN,VT,05641,-72.507448,44.216713,50,023,955300,3
"260 DOE RD WARREN, VT 05674 ",260,DOE RD,WARREN,VT,05674,-72.838742,44.069868,50,023,955600,1
"162 PINE HILL DR BERLIN, VT 05663 ",162,PINE HILL DR,BERLIN,VT,05663,-72.63668,44.189964,50,023,954500,1
"2 RIDGEWOOD TER BARRE TOWN, VT 05641 ",2,RIDGEWOOD TER,BARRE TOWN,VT,05641,-72.479661,44.187284,50,023,955300,1
"13 MARVIN ST MONTPELIER, VT 05602 ",13,MARVIN ST,MONTPELIER,VT,05602,-72.568284,44.258424,50,023,954800,1
"1051 S LAKE RD WOODBURY, VT 05681 ",1051,S   LAKE RD,WOODBURY,VT,05681,-72.340501,44.455015,50,023,954100,1
"11 SWASEY CT WATERBURY, VT 05676 ",11,SWASEY CT,WATERBURY,VT,05676,-72.755109,44.340279,50,023,954300,4
"1076 AIRPORT RD BERLIN, VT 05602 ",1076,AIRPORT RD,BERLIN,VT,05602,-72.549304,44.191576,50,023,954500,2
"312 W COUNTY RD CALAIS, VT 05648 ",312,W   COUNTY RD,CALAIS,VT,05648,-72.492161,44.378683,50,023,954100,3
"86 THISTLE RD WAITSFIELD, VT 05673 ",86,THISTLE RD,WAITSFIELD,VT,05673,-72.789421,44.191858,50,023,955700,1
"91 CRESCENT AVE NORTHFIELD, VT 05663 ",91,CRESCENT AVE,NORTHFIELD,VT,05663,-72.656758,44.139928,50,023,955502,1
"73 NORTH RD WAITSFIELD, VT 05673 ",73,NORTH RD,WAITSFIELD,VT,05673,-72.797912,44.192603,50,023,955700,1
"483 SMITH RD FAYSTON, VT 05660 ",483,SMITH RD,FAYSTON,VT,05660,-72.814637,44.240145,50,023,955800,1
"28 COLONY RD WARREN, VT 05674 ",28,COLONY RD,WARREN,VT,05674,-72.885406,44.14134,50,023,955600,2
"49 PR 3 MIDDLESEX, VT 05602 ",49,PR 3,MIDDLESEX,VT,05602,-72.633743,44.338514,50,023,954200,2
"75 PLEASANT ST BARRE CITY, VT 05641 ",75,PLEASANT ST,BARRE CITY,VT,05641,-72.509767,44.206446,50,023,955100,1
"280 VT ROUTE 14 WOODBURY, VT 05681 ",280,VT ROUTE 14,WOODBURY,VT,05681,-72.413291,44.400267,50,023,954100,1
"3 LONGMEADOW DR MONTPELIER, VT 05602 ",3,LONGMEADOW DR,MONTPELIER,VT,05602,-72.57979,44.246648,50,023,954900,1
"153 CASTLE RD FAYSTON, VT 05660 ",153,CASTLE RD,FAYSTON,VT,05660,-72.803809,44.22647,50,023,955800,1
"50 ELM ST NORTHFIELD, VT 05663 ",50,ELM ST,NORTHFIELD,VT,05663,-72.655369,44.146059,50,023,955502,1
"0 W HILL RD NORTHFIELD, VT 05663 ",0,W  HILL RD,NORTHFIELD,VT,05663,-72.702452,44.158982,50,023,955501,2
"3965 VT ROUTE 14 CALAIS, VT 05650 ",3965,VT ROUTE 14,CALAIS,VT,05650,-72.441169,44.360889,50,023,954100,2
"764 HORNER RD ROXBURY, VT 05669 ",764,HORNER RD,ROXBURY,VT,05669,-72.69711,44.086939,50,023,955502,2
"99 FULLER HILL RD WARREN, VT 05674 ",99,FULLER HILL RD,WARREN,VT,05674,-72.854615,44.111484,50,023,955600,1
"625 HOUSTON HILL RD CABOT, VT 05647 ",625,HOUSTON HILL RD,CABOT,VT,05647,-72.3216,44.422397,50,023,954000,1
"5911 VT ROUTE 14 WOODBURY, VT 05681 ",5911,VT ROUTE 14,WOODBURY,VT,05681,-72.406848,44.468839,50,023,954100,1
"292 VT ROUTE 232 MARSHFIELD, VT 05658 ",292,VT ROUTE 232,MARSHFIELD,VT,05658,-72.323922,44.358179,50,023,954000,2
"38 PLEASANTVIEW ST MONTPELIER, VT 05602 ",38,PLEASANTVIEW ST,MONTPELIER,VT,05602,-72.565556,44.246223,50,023,954900,2
"11 WARK ST BARRE TOWN, VT 05641 ",11,WARK ST,BARRE TOWN,VT,05641,-72.485229,44.190515,50,023,955300,1
"2322 VT ROUTE 100 WARREN, VT 05674 ",2322,VT ROUTE 100,WARREN,VT,05674,-72.858666,44.115712,50,023,955600,2
"16 WILSON ST MONTPELIER, VT 05602 ",16,WILSON ST,MONTPELIER,VT,05602,-72.56919,44.246529,50,023,954900,2
"260 SCHUSS PASS FAYSTON, VT 05673 ",260,SCHUSS PASS,FAYSTON,VT,05673,-72.913747,44.200795,50,023,955800,2
"503 NORTH ST MONTPELIER, VT 05602 ",503,NORTH ST,MONTPELIER,VT,05602,-72.565187,44.269441,50,023,954700,2
"107 MAPLE AVE BARRE CITY, VT 05641 ",107,MAPLE AVE,BARRE CITY,VT,05641,-72.503473,44.207074,50,023,955100,3
"75 TWIN PEAKS RD WATERBURY, VT 05677 ",75,TWIN PEAKS RD,WATERBURY,VT,05677,-72.713891,44.35898,50,023,954300,1
"23 UNION ST WATERBURY, VT 05676 ",23,UNION ST,WATERBURY,VT,05676,-72.756041,44.340094,50,023,954300,4
"562 UNION BROOK RD NORTHFIELD, VT 05663 ",562,UNION BROOK RD,NORTHFIELD,VT,05663,-72.675686,44.158358,50,023,955501,1
"277 KNEELAND HL WATERBURY, VT 05677 ",277,KNEELAND HL,WATERBURY,VT,05677,-72.693471,44.360566,50,023,954300,1
"79 SCHOOL ST PLAINFIELD, VT 05667 ",79,SCHOOL ST,PLAINFIELD,VT,05667,-72.424375,44.278732,50,023,954000,3
"1140 MURRAY RD EAST MONTPELIER, VT 05651 ",1140,MURRAY RD,EAST MONTPELIER,VT,05651,-72.534441,44.265394,50,023,955000,2
"598 MANSFIELD RD FAYSTON, VT 05673 ",598,MANSFIELD RD,FAYSTON,VT,05673,-72.888236,44.200274,50,023,955800,2
"187 EAGLES RD WAITSFIELD, VT 05673 ",187,EAGLES RD,WAITSFIELD,VT,05673,-72.837796,44.177817,50,023,955700,2
"210 OLD RAILROAD LN EAST MONTPELIER, VT 05651 ",210,OLD RAILROAD LN,EAST MONTPELIER,VT,05651,-72.48816,44.256074,50,023,955000,2
"85 BURNT MOUNTAIN RD WARREN, VT 05674 ",85,BURNT MOUNTAIN RD,WARREN,VT,05674,-72.799051,44.10975,50,023,955600,1
"123 SCHOOL ST PLAINFIELD, VT 05667 ",123,SCHOOL ST,PLAINFIELD,VT,05667,-72.423938,44.279158,50,023,954000,3
"60 STRAIGHT SHOT RD WARREN, VT 05674 ",60,STRAIGHT SHOT RD,WARREN,VT,05674,-72.886461,44.129529,50,023,955600,2
"1195 COX BROOK RD NORTHFIELD, VT 05663 ",1195,COX BROOK RD,NORTHFIELD,VT,05663,-72.670907,44.18028,50,023,955501,1
"1002 SWEET RD WATERBURY, VT 05677 ",1002,SWEET RD,WATERBURY,VT,05677,-72.673931,44.394391,50,023,954300,1
"9 SUMMER ST BARRE TOWN, VT 05641 ",9,SUMMER ST,BARRE TOWN,VT,05641,-72.451326,44.160536,50,023,955400,1
"10 LEO AVE BARRE TOWN, VT 05641 ",10,LEO AVE,BARRE TOWN,VT,05641,-72.518464,44.153001,50,023,955400,3
"1897 CENTER FAYSTON RD FAYSTON, VT 05673 ",1897,CENTER FAYSTON RD,FAYSTON,VT,05673,-72.832383,44.213164,50,023,955800,1
"231 BUNKER HILL CIR MARSHFIELD, VT 05667 ",231,BUNKER HILL CIR,MARSHFIELD,VT,05667,-72.423453,44.283433,50,023,954000,2
"106 BENNINGTON DR BERLIN, VT 05602 ",106,BENNINGTON DR,BERLIN,VT,05602,-72.558579,44.233499,50,023,954500,2
"3408 COUNTY RD EAST MONTPELIER, VT 05602 ",3408,COUNTY RD,EAST MONTPELIER,VT,05602,-72.526768,44.316366,50,023,955000,1
"84 SANDY PINES RD EAST MONTPELIER, VT 05651 ",84,SANDY PINES RD,EAST MONTPELIER,VT,05651,-72.484383,44.261413,50,023,955000,2
"19 TIMBERLINE DR WARREN, VT 05674 ",19,TIMBERLINE DR,WARREN,VT,05674,-72.852627,44.139161,50,023,955600,2
"960 EAST RD WAITSFIELD, VT 05673 ",960,EAST RD,WAITSFIELD,VT,05673,-72.780882,44.192779,50,023,955700,1
"286 DUXFARM EST DUXBURY, VT 05676 ",286,DUXFARM EST,DUXBURY,VT,05676,-72.761186,44.324454,50,023,954400,3
"66 ROLLING MEADOWS LN WATERBURY, VT 05676 ",66,ROLLING MEADOWS LN,WATERBURY,VT,05676,-72.745101,44.342997,50,023,954300,1
"24 VALERIE AVE MONTPELIER, VT 05602 ",24,VALERIE AVE,MONTPELIER,VT,05602,-72.56422,44.24286,50,023,954900,2
"8 LUCIA ST BARRE TOWN, VT 05654 ",8,LUCIA ST,BARRE TOWN,VT,05654,-72.487871,44.151388,50,023,955400,2
"16 RIDGE ST MONTPELIER, VT 05602 ",16,RIDGE ST,MONTPELIER,VT,05602,-72.570749,44.255996,50,023,954800,2
"386 VINE ST BERLIN, VT 05641 ",386,VINE ST,BERLIN,VT,05641,-72.536546,44.222997,50,023,954500,2
"595 MCCULLOUGH HILL RD MIDDLESEX, VT 05602 ",595,MCCULLOUGH HILL RD,MIDDLESEX,VT,05602,-72.667773,44.2991,50,023,954200,2
