name,lon,lat,place,osm_type,osm_id,source
South Ryegate,-72.1409272,44.1883959,hamlet,node,158838245,osm_overpass
South Walden,-72.2896461,44.4743412,hamlet,node,158818179,osm_overpass
South Woodbury,-72.4214954,44.4150561,hamlet,node,158855719,osm_overpass
Stannard,-72.2149365,44.5423428,village,node,158798538,osm_overpass
Stowe Fork,-72.7562321,44.5022749,hamlet,node,158814188,osm_overpass
Sugarbush Village,-72.8925777,44.1414343,hamlet,node,158851407,osm_overpass
Summit,-72.0566823,44.6901693,hamlet,node,158813353,osm_overpass
Sutton,-72.0264149,44.633176,village,node,158819206,osm_overpass
Taylor Bridge,-72.2926039,44.4842214,hamlet,node,158876852,osm_overpass
Texas,-71.824385,44.4178422,hamlet,node,158802762,osm_overpass
The Four Corners,-72.2300846,44.5944331,hamlet,node,158842800,osm_overpass
Tice,-72.0349369,44.9799237,hamlet,node,158822118,osm_overpass
Tillotson Mill,-72.5179351,44.7814727,hamlet,node,158905179,osm_overpass
Tolman Corner,-72.3067547,44.5671451,hamlet,node,158859015,osm_overpass
Troy,-72.4058578,44.9037718,village,node,158894323,osm_overpass
Upper Graniteville,-72.4764919,44.1417291,hamlet,node,158851388,osm_overpass
Victory,-71.8453264,44.5092023,hamlet,node,158858822,osm_overpass
Waitsfield,-72.822106,44.1926416,village,node,158825963,osm_overpass
Waitsfield Common,-72.797397,44.1899269,hamlet,node,158810660,osm_overpass
Walden,-72.2233339,44.449781,village,node,158915404,osm_overpass
Walden Heights,-72.2567582,44.452307,hamlet,node,158822082,osm_overpass
Wallace Pond,-71.6214958,45.0100003,hamlet,node,158903554,osm_overpass
Warren,-72.8555364,44.1139265,village,node,158824247,osm_overpass
Warren's Gore,-71.8763336,44.9102365,hamlet,node,10929392945,osm_overpass
Waterbury Center,-72.7159505,44.3781114,hamlet,node,158842243,osm_overpass
Waterville,-72.7691959,44.6902339,village,node,158824761,osm_overpass
Websterville,-72.4695476,44.1606176,hamlet,node,158861684,osm_overpass
Wenlock,-71.7531099,44.7765222,hamlet,node,158800863,osm_overpass
West Barnet,-72.1380222,44.3100282,hamlet,node,158863325,osm_overpass
West Berlin,-72.6328878,44.2000603,hamlet,node,158814935,osm_overpass
West Branch,-72.7160004,44.4741727,hamlet,node,158851377,osm_overpass
West Burke,-71.9796912,44.6415291,village,node,158866587,osm_overpass
West Charleston,-72.0597319,44.898758,hamlet,node,158818629,osm_overpass
West Danville,-72.1951282,44.4092076,hamlet,node,158803203,osm_overpass
West Glover,-72.2239917,44.7283829,hamlet,node,158905529,osm_overpass
West Groton,-72.2434296,44.2181172,hamlet,node,158894188,osm_overpass
West Settlement,-72.721233,44.6200509,hamlet,node,158798564,osm_overpass
West Waterford,-71.9560183,44.3577512,hamlet,node,158873282,osm_overpass
Westfield,-72.4286266,44.889371,village,node,158803195,osm_overpass
Westmore,-72.0548723,44.7711201,village,node,158804634,osm_overpass
Wheelock,-72.0834638,44.5877555,village,node,158825933,osm_overpass
Whites Corner,-71.8889733,44.4108597,hamlet,node,158853964,osm_overpass
Wildersburg Common,-72.4795484,44.1867281,hamlet,node,158815997,osm_overpass
Willoughby,-72.1085072,44.703779,hamlet,node,158823000,osm_overpass
Wolcott,-72.4578702,44.546609,village,node,158846447,osm_overpass
Woodbury,-72.4151253,44.4413834,village,node,158854022,osm_overpass
Worcester,-72.5504119,44.3736006,village,node,158866868,osm_overpass
Wrightsville,-72.5787215,44.3114469,hamlet,node,158853609,osm_overpass
