address_full,number,street,city,state,zip,longitude,latitude,statefp,countyfp,tractce,blkgrpce
"2986 VT ROUTE 122 SHEFFIELD, VT 05866 ",2986,VT ROUTE 122,SHEFFIELD,VT,05866,-72.11305,44.602059,50,005,957000,3
"453 HARDWICK FARMS RD HARDWICK, VT 05836 ",453,HARDWICK FARMS RD,HARDWICK,VT,05836,-72.329433,44.525581,50,005,957700,1
"4079 VT ROUTE 16 HARDWICK, VT 05836 ",4079,VT ROUTE 16,HARDWICK,VT,05836,-72.272751,44.540524,50,005,957700,1
"2963 VT ROUTE 122 SHEFFIELD, VT 05866 ",2963,VT ROUTE 122,SHEFFIELD,VT,05866,-72.113066,44.601152,50,005,957000,3
"280 US ROUTE 5 SUTTON, VT 05867 ",280,US ROUTE 5,SUTTON,VT,05867,-71.989498,44.643417,50,005,957000,1
"1733 OLD SILO RD BARNET, VT 05819 ",1733,OLD SILO RD,BARNET,VT,05819,-72.03193,44.347165,50,005,957900,2
"1367 WHEELOCK RD DANVILLE, VT 05828 ",1367,WHEELOCK RD,DANVILLE,VT,05828,-72.093355,44.499896,50,005,957600,1
"120 ROUTE 215 WALDEN, VT 05873 ",120,ROUTE 215,WALDEN,VT,05873,-72.258767,44.451116,50,005,957000,2
"43 SABIN RD STANNARD, VT 05836 ",43,SABIN RD,STANNARD,VT,05836,-72.200448,44.535369,50,005,957000,3
"21 RIVERS LN WALDEN, VT 05873 ",21,RIVERS LN,WALDEN,VT,05873,-72.266162,44.443252,50,005,957000,2
"935 SHEFFIELD RD SUTTON, VT 05867 ",935,SHEFFIELD RD,SUTTON,VT,05867,-72.045832,44.634054,50,005,957000,1
"49 BLUEBIRD LN LYNDON, VT 05851 ",49,BLUEBIRD LN,LYNDON,VT,05851,-71.997208,44.525581,50,005,957200,2
"342 PORTLAND ST SAINT JOHNSBURY, VT 05819 ",342,PORTLAND ST,SAINT JOHNSBURY,VT,05819,-72.008897,44.420276,50,005,957500,3
"6301 S WHEELOCK RD WHEELOCK, VT 05851 ",6301,S   WHEELOCK RD,WHEELOCK,VT,05851,-72.113931,44.548269,50,005,957000,3
"955 MCREYNOLDS RD DANVILLE, VT 05828 ",955,MCREYNOLDS RD,DANVILLE,VT,05828,-72.114465,44.466627,50,005,957600,1
"183 CENTERVIEW TER SAINT JOHNSBURY, VT 05819 ",183,CENTERVIEW TER,SAINT JOHNSBURY,VT,05819,-72.013137,44.434707,50,005,957500,2
"19 BIG DEER SFH GROTON, VT 05046 ",19,BIG DEER SFH,GROTON,VT,05046,-72.269067,44.28787,50,005,957800,2
"118 BARNET CENTER RD BARNET, VT 05821 ",118,BARNET CENTER RD,BARNET,VT,05821,-72.088868,44.310755,50,005,957900,2
"489 MOONEY RD SAINT JOHNSBURY, VT 05819 ",489,MOONEY RD,SAINT JOHNSBURY,VT,05819,-72.027664,44.445304,50,005,957400,1
"1735 GONYAW RD WHEELOCK, VT 05842 ",1735,GONYAW RD,WHEELOCK,VT,05842,-72.216856,44.567583,50,005,957000,3
"294 KEENE RD WALDEN, VT 05836 ",294,KEENE RD,WALDEN,VT,05836,-72.285417,44.486774,50,005,957000,2
"35 RAY AVE LYNDON, VT 05851 ",35,RAY AVE,LYNDON,VT,05851,-71.992868,44.532368,50,005,957200,2
"50 MAPLE ROW SHEFFIELD, VT 05866 ",50,MAPLE ROW,SHEFFIELD,VT,05866,-72.102962,44.618139,50,005,957000,3
"1783 CAHOON FARM RD WALDEN, VT 05873 ",1783,CAHOON FARM RD,WALDEN,VT,05873,-72.188757,44.459037,50,005,957000,2
"279 SCOTT RD HARDWICK, VT 05843 ",279,SCOTT RD,HARDWICK,VT,05843,-72.356912,44.493387,50,005,957700,2
"4434 US ROUTE 5 N BARNET, VT 05819 ",4434,US ROUTE 5   N,BARNET,VT,05819,-72.030378,44.375428,50,005,957900,2
"20 JEWELL HL LYNDON, VT 05851 ",20,JEWELL HL,LYNDON,VT,05851,-71.963855,44.508563,50,005,957200,1
"69 CENTRAL ST SAINT JOHNSBURY, VT 05819 ",69,CENTRAL ST,SAINT JOHNSBURY,VT,05819,-72.022359,44.419382,50,005,957400,3
"1214 MAIN ST SAINT JOHNSBURY, VT 05819 ",1214,MAIN ST,SAINT JOHNSBURY,VT,05819,-72.020644,44.418994,50,005,957400,2
"4234 US ROUTE 5 S BARNET, VT 05050 ",4234,US ROUTE 5   S,BARNET,VT,05050,-72.067614,44.26661,50,005,957900,3
"52 MAIN ST LYNDON, VT 05851 ",52,MAIN ST,LYNDON,VT,05851,-72.005144,44.5346,50,005,957200,2
"1141 VT ROUTE 15 DANVILLE, VT 05873 ",1141,VT ROUTE 15,DANVILLE,VT,05873,-72.216777,44.412756,50,005,957600,1
"497 RAILROAD ST SAINT JOHNSBURY, VT 05819 ",497,RAILROAD ST,SAINT JOHNSBURY,VT,05819,-72.015703,44.419771,50,005,957400,2
"140 JUNCTION RD HARDWICK, VT 05843 ",140,JUNCTION RD,HARDWICK,VT,05843,-72.376038,44.514241,50,005,957700,2
"125 THE BOSTONIAN WAY SHEFFIELD, VT 05866 ",125,THE BOSTONIAN WAY,SHEFFIELD,VT,05866,-72.089174,44.658406,50,005,957000,3
"2801 VT ROUTE 114 BURKE, VT 05832 ",2801,VT ROUTE 114,BURKE,VT,05832,-71.911132,44.61366,50,005,957100,2
"0 W GLAUCHESTER RD GROTON, VT 05046 ",0,W   GLAUCHESTER RD,GROTON,VT,05046,-72.222798,44.238322,50,005,957800,2
"854 CENTER ST LYNDON, VT 05851 ",854,CENTER ST,LYNDON,VT,05851,-72.005632,44.533594,50,005,957300,2
"312 EAST ST LYNDON, VT 05851 ",312,EAST ST,LYNDON,VT,05851,-71.997908,44.538972,50,005,957200,2
"0 VT ROUTE 114 BURKE, VT 05832 ",0,VT ROUTE 114,BURKE,VT,05832,-71.926045,44.601624,50,005,957100,2
"34 FOLEY HILL RD RYEGATE, VT 05046 ",34,FOLEY HILL RD,RYEGATE,VT,05046,-72.171359,44.25817,50,005,957800,3
"158 TAMARACK RD BURKE, VT 05832 ",158,TAMARACK RD,BURKE,VT,05832,-71.898564,44.618458,50,005,957100,2
"1133 US ROUTE 2 E SAINT JOHNSBURY, VT 05819 ",1133,US ROUTE 2   E,SAINT JOHNSBURY,VT,05819,-71.946932,44.438835,50,005,957500,1
"964 US ROUTE 2 E SAINT JOHNSBURY, VT 05819 ",964,US ROUTE 2   E,SAINT JOHNSBURY,VT,05819,-71.946162,44.436391,50,005,957500,1
"410 DEER CREEK LN SAINT JOHNSBURY, VT 05819 ",410,DEER CREEK LN,SAINT JOHNSBURY,VT,05819,-72.005676,44.484889,50,005,957500,1
"148 MOUNTAIN AVE SAINT JOHNSBURY, VT 05819 ",148,MOUNTAIN AVE,SAINT JOHNSBURY,VT,05819,-72.004311,44.418379,50,005,957500,3
"2650 TAMPICO RD DANVILLE, VT 05828 ",2650,TAMPICO RD,DANVILLE,VT,05828,-72.093597,44.495078,50,005,957600,1
"79 VERTICAL MILE RD WHEELOCK, VT 05851 ",79,VERTICAL MILE RD,WHEELOCK,VT,05851,-72.090479,44.58751,50,005,957000,3
"121 SHORE LN WALDEN, VT 05836 ",121,SHORE LN,WALDEN,VT,05836,-72.219138,44.505403,50,005,957000,2
"118 MODEL A DR SAINT JOHNSBURY, VT 05819 ",118,MODEL A DR,SAINT JOHNSBURY,VT,05819,-72.020213,44.449786,50,005,957400,1
"2991 VT ROUTE 18 WATERFORD, VT 05819 ",2991,VT ROUTE 18,WATERFORD,VT,05819,-71.921104,44.398372,50,005,957900,1
"75 DEWEY ST HARDWICK, VT 05843 ",75,DEWEY ST,HARDWICK,VT,05843,-72.37329,44.502685,50,005,957700,2
"149 SUMMER ST SAINT JOHNSBURY, VT 05819 ",149,SUMMER ST,SAINT JOHNSBURY,VT,05819,-72.023927,44.417933,50,005,957400,3
"613 CALENDAR BROOK RD BURKE, VT 05851 ",613,CALENDAR BROOK RD,BURKE,VT,05851,-71.985339,44.588513,50,005,957100,1
"2746 NEWARK POND RD NEWARK, VT 05871 ",2746,NEWARK POND RD,NEWARK,VT,05871,-71.996293,44.709913,50,005,957000,1
"7 LOON LN WALDEN, VT 05873 ",7,LOON LN,WALDEN,VT,05873,-72.252497,44.444543,50,005,957000,2
"180 BROOK CIR BARNET, VT 05050 ",180,BROOK CIR,BARNET,VT,05050,-72.06578,44.261346,50,005,957900,3
"2104 E BURKE RD LYNDON, VT 05851 ",2104,E   BURKE RD,LYNDON,VT,05851,-71.96486,44.558359,50,005,957200,1
"272 KIRBY RD BURKE, VT 05832 ",272,KIRBY RD,BURKE,VT,05832,-71.935443,44.587137,50,005,957100,2
"4301 VT ROUTE 114 BURKE, VT 05832 ",4301,VT ROUTE 114,BURKE,VT,05832,-71.900407,44.630613,50,005,957100,2
"145 TOUSANT HILL RD STANNARD, VT 05842 ",145,TOUSANT HILL RD,STANNARD,VT,05842,-72.253894,44.548604,50,005,957000,3
"401 CLIFF ST SAINT JOHNSBURY, VT 05819 ",401,CLIFF ST,SAINT JOHNSBURY,VT,05819,-72.02275,44.424807,50,005,957400,1
"88 TICKLENAKED POND RD RYEGATE, VT 05042 ",88,TICKLENAKED POND RD,RYEGATE,VT,05042,-72.096971,44.193367,50,005,957800,3
"86 STEALTH RIDGE LN SAINT JOHNSBURY, VT 05819 ",86,STEALTH RIDGE LN,SAINT JOHNSBURY,VT,05819,-72.009146,44.427034,50,005,957500,1
"694 VT ROUTE 122 WHEELOCK, VT 05851 ",694,VT ROUTE 122,WHEELOCK,VT,05851,-72.074459,44.582631,50,005,957000,3
"48 LEONARD ST LYNDON, VT 05851 ",48,LEONARD ST,LYNDON,VT,05851,-71.9975,44.537436,50,005,957200,2
"94 QUEEN ELIZABETH FARM LN SUTTON, VT 05867 ",94,QUEEN ELIZABETH FARM LN,SUTTON,VT,05867,-72.069374,44.663185,50,005,957000,1
"293 VT ROUTE 2B SAINT JOHNSBURY, VT 05819 ",293,VT ROUTE 2B,SAINT JOHNSBURY,VT,05819,-72.034429,44.421754,50,005,957400,1
"179 EASTERN AVE SAINT JOHNSBURY, VT 05819 ",179,EASTERN AVE,SAINT JOHNSBURY,VT,05819,-72.01928,44.418703,50,005,957400,2
"4200 SCOTT HWY GROTON, VT 05046 ",4200,SCOTT HWY,GROTON,VT,05046,-72.246692,44.217276,50,005,957800,2
"1487 BUGBEE CROSSING RD BURKE, VT 05871 ",1487,BUGBEE CROSSING RD,BURKE,VT,05871,-71.966374,44.605373,50,005,957100,1
"81 WALDEN HILL RD DANVILLE, VT 05828 ",81,WALDEN HILL RD,DANVILLE,VT,05828,-72.144541,44.412272,50,005,957600,1
"346 HAYS DR HARDWICK, VT 05843 ",346,HAYS DR,HARDWICK,VT,05843,-72.32469,44.496923,50,005,957700,2
"41 MARBLE LN LYNDON, VT 05851 ",41,MARBLE LN,LYNDON,VT,05851,-71.998846,44.545173,50,005,957200,2
"88 BAGLEY ST SAINT JOHNSBURY, VT 05819 ",88,BAGLEY ST,SAINT JOHNSBURY,VT,05819,-72.015656,44.422348,50,005,957400,2
"1743 SLATE LEDGE RD WATERFORD, VT 05819 ",1743,SLATE LEDGE RD,WATERFORD,VT,05819,-71.954489,44.396747,50,005,957900,1
"16 GUS RUN LYNDON, VT 05851 ",16,GUS RUN,LYNDON,VT,05851,-71.985498,44.539037,50,005,957200,1
"6001 MEMORIAL DR LYNDON, VT 05851 ",6001,MEMORIAL DR,LYNDON,VT,05851,-72.011165,44.513683,50,005,957300,3
"908 CENTER ST LYNDON, VT 05851 ",908,CENTER ST,LYNDON,VT,05851,-72.004611,44.533585,50,005,957300,2
"174 CLIFF ST SAINT JOHNSBURY, VT 05819 ",174,CLIFF ST,SAINT JOHNSBURY,VT,05819,-72.023974,44.421676,50,005,957400,3
"227 VT ROUTE 14 S HARDWICK, VT 05843 ",227,VT ROUTE 14  S,HARDWICK,VT,05843,-72.372807,44.49342,50,005,957700,2
"135 CAHOON FARM RD WALDEN, VT 05873 ",135,CAHOON FARM RD,WALDEN,VT,05873,-72.21924,44.452919,50,005,957000,2
"157 WILLOUGHBY WAY LYNDON, VT 05851 ",157,WILLOUGHBY WAY,LYNDON,VT,05851,-71.970036,44.577732,50,005,957200,2
"970 COMERFORD DAM RD BARNET, VT 05821 ",970,COMERFORD DAM RD,BARNET,VT,05821,-72.026624,44.323316,50,005,957900,2
"262 SHERBURNE PL LYNDON, VT 05851 ",262,SHERBURNE PL,LYNDON,VT,05851,-72.006484,44.566582,50,005,957300,1
"1199 GOSS HILL RD BARNET, VT 05821 ",1199,GOSS HILL RD,BARNET,VT,05821,-72.090815,44.330486,50,005,957900,2
"134 HIGH ST HARDWICK, VT 05843 ",134,HIGH ST,HARDWICK,VT,05843,-72.361144,44.506231,50,005,957700,1
"261 SUMMER ST SAINT JOHNSBURY, VT 05819 ",261,SUMMER ST,SAINT JOHNSBURY,VT,05819,-72.023219,44.419418,50,005,957400,3
"425 PEARL ST SAINT JOHNSBURY, VT 05819 ",425,PEARL ST,SAINT JOHNSBURY,VT,05819,-72.016844,44.419624,50,005,957400,2
"1906 CREPEAULT HILL RD SAINT JOHNSBURY, VT 05819 ",1906,CREPEAULT HILL RD,SAINT JOHNSBURY,VT,05819,-72.054615,44.474352,50,005,957400,1
"211 HALL FARM LN NEWARK, VT 05871 ",211,HALL FARM LN,NEWARK,VT,05871,-71.955054,44.676837,50,005,957000,1
"1380 COTTON RD LYNDON, VT 05851 ",1380,COTTON RD,LYNDON,VT,05851,-72.056558,44.555784,50,005,957300,3
"2379 MCDOWELL RD DANVILLE, VT 05828 ",2379,MCDOWELL RD,DANVILLE,VT,05828,-72.122789,44.490488,50,005,957600,1
"51 ADAMS DR SAINT JOHNSBURY, VT 05819 ",51,ADAMS DR,SAINT JOHNSBURY,VT,05819,-72.010735,44.412453,50,005,957500,3
"443 US ROUTE 2 W DANVILLE, VT 05828 ",443,US ROUTE 2  W,DANVILLE,VT,05828,-72.148663,44.409941,50,005,957600,2
"33 SECOND ST SAINT JOHNSBURY, VT 05819 ",33,SECOND ST,SAINT JOHNSBURY,VT,05819,-72.012207,44.464543,50,005,957500,1
"613 ONION PT PEACHAM, VT 05862 ",613,ONION PT,PEACHAM,VT,05862,-72.265969,44.332044,50,005,957800,1
"2101 OLD COUNTY RD S WATERFORD, VT 05819 ",2101,OLD COUNTY RD S,WATERFORD,VT,05819,-71.898947,44.381556,50,005,957900,1
"64 SUNNY BEACH LN BARNET, VT 05821 ",64,SUNNY BEACH LN,BARNET,VT,05821,-72.141412,44.304613,50,005,957900,3
"2123 VT ROUTE 16 HARDWICK, VT 05836 ",2123,VT ROUTE 16,HARDWICK,VT,05836,-72.299631,44.522447,50,005,957700,1
"129 HARVEY ST SAINT JOHNSBURY, VT 05819 ",129,HARVEY ST,SAINT JOHNSBURY,VT,05819,-72.024784,44.425613,50,005,957400,1
"427 VT ROUTE 114 BURKE, VT 05832 ",427,VT ROUTE 114,BURKE,VT,05832,-71.945575,44.588285,50,005,957100,2
"1033 HIGGINS HILL RD SAINT JOHNSBURY, VT 05819 ",1033,HIGGINS HILL RD,SAINT JOHNSBURY,VT,05819,-71.973712,44.421018,50,005,957500,3
"1223 SCOTT HWY GROTON, VT 05046 ",1223,SCOTT HWY,GROTON,VT,05046,-72.192829,44.209694,50,005,957800,2
"2354 N BAYLEY HAZEN RD RYEGATE, VT 05042 ",2354,N  BAYLEY HAZEN RD,RYEGATE,VT,05042,-72.113044,44.240389,50,005,957800,3
"1198 INDUSTRIAL PKWY SAINT JOHNSBURY, VT 05819 ",1198,INDUSTRIAL PKWY,SAINT JOHNSBURY,VT,05819,-72.015735,44.494652,50,005,957400,1
"3563 HALL RD RYEGATE, VT 05046 ",3563,HALL RD,RYEGATE,VT,05046,-72.162869,44.235874,50,005,957800,3
"892 OLD MAN MOUNTAIN RD SAINT JOHNSBURY, VT 05819 ",892,OLD MAN MOUNTAIN RD,SAINT JOHNSBURY,VT,05819,-72.063578,44.503628,50,005,957400,1
"78 AVENUE C SAINT JOHNSBURY, VT 05819 ",78,AVENUE C,SAINT JOHNSBURY,VT,05819,-72.004403,44.479497,50,005,957500,1
"2059 SCOTT HWY GROTON, VT 05046 ",2059,SCOTT HWY,GROTON,VT,05046,-72.208669,44.213645,50,005,957800,2
"159 CENTRAL ST SAINT JOHNSBURY, VT 05819 ",159,CENTRAL ST,SAINT JOHNSBURY,VT,05819,-72.023962,44.419795,50,005,957400,3
"970 MEMORIAL DR SAINT JOHNSBURY, VT 05819 ",970,MEMORIAL DR,SAINT JOHNSBURY,VT,05819,-72.015354,44.446495,50,005,957500,2
"3253 US ROUTE 2 W DANVILLE, VT 05873 ",3253,US ROUTE 2   W,DANVILLE,VT,05873,-72.203717,44.406626,50,005,957600,2
"1023 PUDDING HILL RD LYNDON, VT 05851 ",1023,PUDDING HILL RD,LYNDON,VT,05851,-72.017564,44.556879,50,005,957300,1
"1369 MAPLE RIDGE RD NEWARK, VT 05871 ",1369,MAPLE RIDGE RD,NEWARK,VT,05871,-71.927548,44.669476,50,005,957000,1
"845 MORSES MILL RD DANVILLE, VT 05819 ",845,MORSES MILL RD,DANVILLE,VT,05819,-72.077349,44.376724,50,005,957600,2
"1558 NEWARK ST NEWARK, VT 05871 ",1558,NEWARK ST,NEWARK,VT,05871,-71.949334,44.691209,50,005,957000,1
"757 MARSHALL NEWLAND RD BURKE, VT 05832 ",757,MARSHALL NEWLAND RD,BURKE,VT,05832,-71.915696,44.626066,50,005,957100,2
"424 GILMAN RD LYNDON, VT 05851 ",424,GILMAN RD,LYNDON,VT,05851,-72.016426,44.545321,50,005,957300,1
"892 ONION PT PEACHAM, VT 05862 ",892,ONION PT,PEACHAM,VT,05862,-72.266824,44.328901,50,005,957800,1
"752 MORRISON HILL RD PEACHAM, VT 05821 ",752,MORRISON HILL RD,PEACHAM,VT,05821,-72.11918,44.340868,50,005,957800,1
"43 W COLDWATER BROOK RD GROTON, VT 05046 ",43,W   COLDWATER BROOK RD,GROTON,VT,05046,-72.264145,44.283302,50,005,957800,2
"295 DEER CREEK LN SAINT JOHNSBURY, VT 05819 ",295,DEER CREEK LN,SAINT JOHNSBURY,VT,05819,-72.003144,44.484551,50,005,957500,1
"148 EASTERN AVE SAINT JOHNSBURY, VT 05819 ",148,EASTERN AVE,SAINT JOHNSBURY,VT,05819,-72.018592,44.418766,50,005,957400,2
"2183 SCHOOLHOUSE RD NEWARK, VT 05871 ",2183,SCHOOLHOUSE RD,NEWARK,VT,05871,-71.962937,44.692358,50,005,957000,1
"4525 BURKE HOLLOW RD BURKE, VT 05871 ",4525,BURKE HOLLOW RD,BURKE,VT,05871,-71.974748,44.639223,50,005,957100,1
"40 W HILL RD SAINT JOHNSBURY, VT 05819 ",40,W   HILL RD,SAINT JOHNSBURY,VT,05819,-72.026294,44.394211,50,005,957400,1
"75 MILL ST HARDWICK, VT 05843 ",75,MILL ST,HARDWICK,VT,05843,-72.364707,44.504383,50,005,957700,1
"1174 ONEIDA RD DANVILLE, VT 05828 ",1174,ONEIDA RD,DANVILLE,VT,05828,-72.161698,44.397678,50,005,957600,2
"624 MOONEY RD SAINT JOHNSBURY, VT 05819 ",624,MOONEY RD,SAINT JOHNSBURY,VT,05819,-72.025876,44.446389,50,005,957400,1
"131 RED BARN RD DANVILLE, VT 05828 ",131,RED BARN RD,DANVILLE,VT,05828,-72.110671,44.429494,50,005,957600,1
"35 VALLEY ST SAINT JOHNSBURY, VT 05819 ",35,VALLEY ST,SAINT JOHNSBURY,VT,05819,-72.023941,44.414136,50,005,957400,3
"72 LEVI POND RD GROTON, VT 05046 ",72,LEVI POND RD,GROTON,VT,05046,-72.219886,44.249814,50,005,957800,2
"92 COOLIDGE CIR SAINT JOHNSBURY, VT 05819 ",92,COOLIDGE CIR,SAINT JOHNSBURY,VT,05819,-72.001321,44.429851,50,005,957500,1
"3095 VT ROUTE 18 WATERFORD, VT 05819 ",3095,VT ROUTE 18,WATERFORD,VT,05819,-71.921316,44.396506,50,005,957900,1
"2591 VT ROUTE 16 HARDWICK, VT 05836 ",2591,VT ROUTE 16,HARDWICK,VT,05836,-72.289875,44.525772,50,005,957700,1
"2567 BARNET CENTER RD BARNET, VT 05819 ",2567,BARNET CENTER RD,BARNET,VT,05819,-72.062516,44.337652,50,005,957900,2
"570 SUNRISE DR GROTON, VT 05046 ",570,SUNRISE DR,GROTON,VT,05046,-72.270238,44.27453,50,005,957800,2
"7123 S WHEELOCK RD WHEELOCK, VT 05851 ",7123,S   WHEELOCK RD,WHEELOCK,VT,05851,-72.128502,44.545276,50,005,957000,3
"119 PARK AVE LYNDON, VT 05851 ",119,PARK AVE,LYNDON,VT,05851,-72.006859,44.536114,50,005,957300,2
"1195 LYNBURKE RD LYNDON, VT 05851 ",1195,LYNBURKE RD,LYNDON,VT,05851,-71.995346,44.559955,50,005,957300,1
"0 FAIRGROUNDS RD LYNDON, VT 05851 ",0,FAIRGROUNDS RD,LYNDON,VT,05851,-71.994138,44.54373,50,005,957200,2
"55 PAPERMILL RD RYEGATE, VT 05042 ",55,PAPERMILL RD,RYEGATE,VT,05042,-72.062834,44.204869,50,005,957800,3
"3039 ONEIDA RD DANVILLE, VT 05828 ",3039,ONEIDA RD,DANVILLE,VT,05828,-72.189138,44.401472,50,005,957600,2
"376 BROAD ST LYNDON, VT 05851 ",376,BROAD ST,LYNDON,VT,05851,-72.000499,44.524912,50,005,957200,2
"136 WOODBURY LN LYNDON, VT 05851 ",136,WOODBURY LN,LYNDON,VT,05851,-71.988139,44.586028,50,005,957300,1
"40 AVENUE B SAINT JOHNSBURY, VT 05819 ",40,AVENUE B,SAINT JOHNSBURY,VT,05819,-72.00338,44.479656,50,005,957500,1
"789 BEAN POND RD WHEELOCK, VT 05851 ",789,BEAN POND RD,WHEELOCK,VT,05851,-72.074153,44.549407,50,005,957000,3
"651 TRESTLE RD DANVILLE, VT 05828 ",651,TRESTLE RD,DANVILLE,VT,05828,-72.078098,44.424656,50,005,957600,2
"104 DANIELS FARM RD WATERFORD, VT 05819 ",104,DANIELS FARM RD,WATERFORD,VT,05819,-71.947132,44.390573,50,005,957900,1
"6682 VT ROUTE 15 WALDEN, VT 05843 ",6682,VT ROUTE 15,WALDEN,VT,05843,-72.268914,44.465656,50,005,957000,2
"2620 CENTER RD HARDWICK, VT 05843 ",2620,CENTER RD,HARDWICK,VT,05843,-72.328686,44.538163,50,005,957700,1
"3660 W BARNET RD BARNET, VT 05821 ",3660,W   BARNET RD,BARNET,VT,05821,-72.123383,44.309866,50,005,957900,2
"0 ANDERSON ST BARNET, VT 05821 ",0,ANDERSON ST,BARNET,VT,05821,-72.048893,44.298884,50,005,957900,2
"1979 GASKELL HILL RD BURKE, VT 05871 ",1979,GASKELL HILL RD,BURKE,VT,05871,-71.986162,44.618811,50,005,957100,1
"284 SAND HILL RD SHEFFIELD, VT 05866 ",284,SAND HILL RD,SHEFFIELD,VT,05866,-72.167694,44.663251,50,005,957000,3
"26 WINCHESTER RD STANNARD, VT 05842 ",26,WINCHESTER RD,STANNARD,VT,05842,-72.222216,44.554095,50,005,957000,3
